lookback,hidden_dim,layer_dim,learning_rate,drop_rate,rmse,mse,mae,csi,tempoTreinamento
30,128,1,0.001,0.5,13.144117981987764,172.76783752441406,7.682380676269531,0.16666666666666666,0.2173619031906128
30,128,2,0.001,0.5,13.21919325497967,174.7470703125,6.9804558753967285,0.16666666666666666,0.6389380852381389
